preset
requirement,customer,cost min,cost max,weight min,weight max,value min,value max
25,20,1,5,1,5,0,9

NSGA-II preset
population,mutation rate,generation number
25,0.2,20

cost
5,1,4,1,1,1,5,2,2,2,1,5,2,2,3,2,2,5,5,3,3,5,1,5,1,

weight
1,1,5,4,4,1,5,4,5,5,4,5,1,3,1,1,3,2,1,3,

value
6,8,9,5,4,1,9,0,0,7,5,3,6,7,3,5,6,9,9,9,
0,2,0,6,5,2,2,5,2,0,0,4,2,3,4,9,2,8,3,7,
2,4,5,4,9,2,3,3,0,4,9,4,9,9,2,9,4,7,7,6,
2,8,6,1,7,9,1,5,1,2,0,7,6,5,4,3,5,4,3,3,
5,3,8,0,2,0,7,8,4,0,6,9,7,9,9,1,9,9,4,2,
3,9,7,2,9,2,8,9,3,9,4,6,9,5,8,3,7,1,6,7,
5,1,0,3,1,1,4,6,6,0,6,9,1,0,3,2,8,9,0,9,
5,1,1,7,3,6,5,4,4,8,2,3,3,7,9,6,5,9,3,3,
6,3,5,5,7,3,8,3,4,8,7,3,1,2,5,4,8,5,4,2,
2,9,8,0,9,0,4,0,2,4,3,1,8,6,2,0,6,9,0,4,
1,2,4,4,3,9,3,6,4,2,1,5,7,4,7,7,3,8,0,2,
5,9,9,9,5,6,9,0,2,0,3,8,8,3,4,0,4,6,7,9,
6,5,1,7,2,7,8,4,7,4,9,1,3,3,5,5,6,3,3,4,
8,3,0,5,8,8,9,1,4,3,0,2,7,5,1,5,0,7,7,9,
1,9,3,9,6,5,7,4,1,4,6,0,4,9,2,7,3,7,3,1,
8,5,8,5,3,7,1,4,1,0,6,9,4,6,0,0,5,4,3,7,
3,4,9,2,6,7,0,2,0,2,9,8,8,8,5,0,9,0,2,9,
3,2,7,4,2,6,2,8,5,1,6,9,4,1,4,0,9,5,2,7,
7,8,2,7,1,7,2,2,9,0,7,5,1,2,1,1,7,5,7,1,
9,3,9,2,5,3,2,5,4,5,1,3,1,8,8,9,9,4,9,0,
4,1,6,4,9,0,5,2,2,6,5,4,4,8,9,0,4,1,1,5,
6,0,7,0,2,3,9,2,4,9,0,8,8,0,4,4,7,0,7,0,
5,0,0,2,6,3,0,6,5,2,3,4,4,4,9,3,2,3,0,0,
2,7,7,4,6,6,2,4,0,4,7,4,6,4,5,8,8,6,2,4,
8,2,2,6,9,7,6,1,1,2,0,0,5,8,7,3,4,5,4,1,

score
318,178,286,219,311,360,241,265,300,230,222,307,272,241,259,256,278,282,230,268,267,254,171,265,204,

Initial set
F,T,T,F,F,F,T,F,F,T,F,F,F,T,F,T,F,F,F,T,T,F,F,T,T,28,2436
F,F,F,T,F,F,T,F,F,F,F,F,T,F,F,F,F,T,F,F,T,F,T,T,F,22,1717
F,T,T,T,T,F,T,F,F,T,T,F,F,T,T,T,F,F,F,F,T,F,T,T,T,32,3350
T,T,T,T,T,F,F,T,T,T,T,T,F,F,T,F,T,T,F,T,T,T,F,F,T,46,4448
F,F,F,T,T,T,T,T,F,T,F,F,T,T,T,F,T,T,T,F,F,T,F,F,T,37,3646
F,F,F,T,F,T,T,T,F,F,F,F,F,T,T,T,F,F,T,T,T,T,F,F,F,32,2860
F,T,T,F,T,T,F,F,F,T,T,T,F,T,F,T,T,T,T,T,F,F,T,F,T,36,3824
T,T,T,F,T,T,T,F,T,T,T,T,F,T,F,T,F,T,F,F,F,F,T,F,F,37,3703
T,T,T,T,F,F,F,T,T,T,T,F,F,T,T,F,T,T,F,F,F,T,T,T,T,42,3972
F,T,T,T,T,T,F,T,F,F,F,F,F,T,T,F,T,T,F,F,T,T,T,T,T,37,3840
T,T,T,T,F,F,F,F,T,F,F,F,T,T,T,T,F,F,T,F,T,F,F,T,F,35,3091
F,T,F,F,T,T,F,T,F,F,T,T,F,T,T,F,F,T,F,F,T,T,T,F,T,31,3321
T,T,F,T,T,F,F,F,T,T,T,F,T,F,F,T,T,F,T,T,F,T,T,T,F,38,3772
F,T,T,F,T,T,F,F,T,T,T,T,T,T,F,F,T,F,F,T,T,F,T,F,F,30,3691
F,F,T,F,T,F,F,F,T,F,F,T,T,T,F,F,T,T,F,T,F,F,T,T,F,32,2981
F,T,T,T,T,F,T,T,T,T,F,T,T,T,F,F,T,F,T,T,F,T,T,T,F,48,4316
F,T,T,F,F,T,T,T,T,T,T,T,T,F,F,F,T,T,F,F,T,F,F,F,F,35,3488
T,F,T,T,F,T,T,F,T,T,F,T,F,F,F,T,T,F,T,F,T,F,F,F,F,37,3292
T,T,F,F,F,T,F,T,T,F,T,F,T,T,F,F,F,F,T,T,T,T,T,T,T,39,3815
T,T,T,F,T,T,T,F,F,T,F,T,T,T,T,F,F,T,T,F,F,F,F,F,T,42,3719
T,T,T,F,F,F,T,F,T,F,F,T,F,F,F,T,T,T,T,T,F,F,T,T,T,46,3584
T,T,F,T,F,F,T,T,T,T,F,T,T,T,T,F,F,F,T,T,T,F,T,F,F,42,3766
